Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
30,Portugal,Unknown,TAVIRA,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Profissões das Forças Armadas,Unknown,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta própria como isolado,Outra situação,Unknown,Ensino secundário - 12.º  ou equivalente,Pessoal administrativo,Reformado,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
29,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
35,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Outra situação,Profissão Ignorada,Ensino básico 2.º ciclo - 6.º ano de escolaridade ,Reformado,Trabalhadores não qualificados,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Não disponível,Não disponível,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,Reingresso,1,14 - Reingresso,Unknown,Unknown
32,Portugal,Unknown,TAVIRA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
29,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1.º CICLO,Escola Superior de Saúde,No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
33,Portugal,Unknown,LAGOS,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Pessoal administrativo,Unknown,Ensino secundário - 12.º  ou equivalente,Reformado,Pessoal administrativo,Unknown,Ensino secundário - 12.º  ou equivalente,Pessoal administrativo,Reformado,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
29,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
28,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
28,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,"Técnicos de nível intermédio, das áreas financeira, administrativa e dos negócios",Outra situação,Ensino secundário - 12.º  ou equivalente,Reformado,Trabalhadores de limpeza,Outra situação,Ensino secundário - 12.º  ou equivalente,Vendedores,Reformado,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
28,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
