Student ID,Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
5b298041-3535-11ef-af6f-09f1977a5dda,30,Portugal,Unknown,OLHÃO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais ",Outra situação,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhador por conta de outrem,"Trabalhadores da transformação de alimentos, da madeira, do vestuário e outras indústrias e artesanato ",Outra situação,Ensino secundário - 12.º  ou equivalente,"Trabalhadores da transformação de alimentos, da madeira, do vestuário e outras indústrias e artesanato ",Trabalhador por conta própria como empregador,202324,GESTÃO (1º CICLO) - REGIME NOTURNO,"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Par Instituição/Curso,0,12 - Mudança de curso,Mudança de Par/Instituição curso,Unknown
5b2a4394-3535-11ef-af6f-09f1977a5dda,30,Portugal,Unknown,ALBUFEIRA,No,No,CE / MC,Outra situação,Trabalhador por conta própria como isolado,"Trabalhadores qualificados da impressão, do fabrico de instrumentos de precisão, joalheiros, artesãos e similares",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Outra situação,"Trabalhadores qualificados da impressão, do fabrico de instrumentos de precisão, joalheiros, artesãos e similares",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhadores dos serviços pessoais,Trabalhador por conta de outrem,202324,PSICOLOGIA (1º CICLO),Faculdade de Ciências Humanas e Sociais,No,Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b2b2df3-3535-11ef-af6f-09f1977a5dda,32,Portugal,Unknown,QUARTEIRA,No,No,CE / MC,Outra situação,"Aluno, estudante","Directores de hotelaria, restauração, comércio e de outros serviços ",Unknown,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta própria como isolado,"Directores de hotelaria, restauração, comércio e de outros serviços ",Unknown,Ensino secundário - 12.º  ou equivalente,"Directores de hotelaria, restauração, comércio e de outros serviços ",Trabalhador por conta própria como isolado,202324,GESTÃO HOTELEIRA (1º CICLO),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Par Instituição/Curso,0,12 - Mudança de curso,Mudança de Par/Instituição curso,Unknown
5b2b5500-3535-11ef-af6f-09f1977a5dda,31,Portugal,Unknown,PORTIMÃO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Empregados de escritório, secretários em geral e operadores de processamento de dados ",Unknown,Não disponível,Outra situação,Não sabe,Unknown,Não disponível,Não sabe,Outra situação,202324,GESTÃO (1º CICLO) - REGIME NOTURNO - PORTIMÃO,"Escola Superior de Gestão, Hotelaria e Turismo",No,Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b2cb491-3535-11ef-af6f-09f1977a5dda,51,Portugal,Unknown,FARO,No,No,Candidato a Bolsa (comprovativo na matricula),Outra situação,Trabalhador por conta própria como isolado,Profissionais de saúde,Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Vendedores,Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Vendedores,Reformado,202324,PSICOLOGIA (1º CICLO),Faculdade de Ciências Humanas e Sociais,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b2fe8e1-3535-11ef-af6f-09f1977a5dda,30,Portugal,Unknown,TAVIRA,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,Pessoal dos serviços de protecção e segurança ,Unknown,Ensino superior - licenciatura,Trabalhador por conta de outrem,Outro pessoal de apoio de tipo administrativo ,Unknown,Ensino superior - licenciatura,"Técnicos e profissões das ciências e engenharia, de nível intermédio",Trabalhador por conta de outrem,202324,ENGENHARIA MECÂNICA (1º CICLO),Instituto Superior de Engenharia,No,Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b32a806-3535-11ef-af6f-09f1977a5dda,27,Portugal,Unknown,TORRÃO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais ",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhador por conta própria como isolado,Não sabe,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Não sabe,Trabalhador por conta própria como isolado,202324,GESTÃO (1º CICLO) - REGIME NOTURNO,"Escola Superior de Gestão, Hotelaria e Turismo",No,Titulares de diploma de especialização tecnológica,0,6 - Concurso especial titulares de DET,Titulares de DET,Unknown
5b32f623-3535-11ef-af6f-09f1977a5dda,27,Portugal,Unknown,OLHÃO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais ",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhador por conta de outrem,Assistentes na preparação de refeições,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Não sabe,Trabalhador por conta de outrem,202324,ENGENHARIA INFORMÁTICA (1º CICLO),Faculdade de Ciências e Tecnologia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b3455b4-3535-11ef-af6f-09f1977a5dda,29,Portugal,Unknown,FARO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Técnicos e profissionais, de nível intermédio da saúde",Unknown,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta de outrem,Vendedores,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhadores qualificados em electricidade e em electrónica,Trabalhador por conta própria como isolado,202324,CIÊNCIAS BIOMÉDICAS LABORATORIAIS (1º CICLO),Escola Superior de Saúde,No,Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b37d822-3535-11ef-af6f-09f1977a5dda,28,Portugal,Unknown,QUARTEIRA,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,"Empregados de escritório, secretários em geral e operadores de processamento de dados ",Outra situação,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta de outrem,Não sabe,Unknown,Ensino secundário - 12.º  ou equivalente,"Directores de hotelaria, restauração, comércio e de outros serviços ",Trabalhador por conta de outrem,202324,CONTABILIDADE,"Escola Superior de Gestão, Hotelaria e Turismo",No,Ingresso em TESP,0,4 - Concurso de acesso a CTeSP,Candidaturas aos TESP,Unknown
5b384d56-3535-11ef-af6f-09f1977a5dda,44,Portugal,Unknown,TAVIRA,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Técnicos de nível intermédio dos serviços jurídicos, sociais, desportivos, culturais e similares",Outra situação,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Outra situação,Directores de serviços administrativos e comerciais,Outra situação,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,"Técnicos e profissionais, de nível intermédio da saúde",Reformado,202324,CIÊNCIAS DA COMUNICAÇÃO (1º CICLO),Escola Superior de Educação e Comunicação,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b3cba24-3535-11ef-af6f-09f1977a5dda,30,Angola,Unknown,FARO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,Assistentes na preparação de refeições,Unknown,Ensino secundário - 12.º  ou equivalente,Outra situação,Trabalhadores dos cuidados pessoais e similares,Unknown,Ensino secundário - 12.º  ou equivalente,Técnicos das tecnologias de informação e comunicação ,Outra situação,202324,GESTÃO (1º CICLO),"Escola Superior de Gestão, Hotelaria e Turismo",No,TITULAR DE DIPLOMA TÉCNICO SUPERIOR PROFISSIONAL,0,7 - Concurso especial titulares de diploma CTeSP,Titulares de TESP,Unknown
5b3df2a0-3535-11ef-af6f-09f1977a5dda,50,Portugal,Unknown,FARO,No,No,Candidato a Bolsa (comprovativo na matricula),Outra situação,Trabalhador por conta de outrem,"Técnicos de nível intermédio, das áreas financeira, administrativa e dos negócios",Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Não sabe,Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Não sabe,Reformado,202324,EDUCAÇÃO SOCIAL (1º CICLO),Escola Superior de Educação e Comunicação,Recebida (SAS),Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b3f7940-3535-11ef-af6f-09f1977a5dda,47,Portugal,Unknown,OLHÃO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Técnicos e profissionais, de nível intermédio da saúde",Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Doméstico,Trabalhadores de limpeza,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,"Directores de hotelaria, restauração, comércio e de outros serviços ",Trabalhador por conta própria como empregador,202324,PSICOLOGIA (1º CICLO),Faculdade de Ciências Humanas e Sociais,No,Maiores de 23 anos,1,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b3fc760-3535-11ef-af6f-09f1977a5dda,24,Portugal,Unknown,BOLIQUEIME,No,No,CE / MC,Outra situação,Desempregado,Vendedores,Unknown,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta de outrem,Não sabe,Unknown,Ensino secundário - 12.º  ou equivalente,Não sabe,Desempregado,202324,EDUCAÇÃO SOCIAL (1º CICLO),Escola Superior de Educação e Comunicação,No,Maiores de 23 anos,0,5 -Concurso especial maiores de 23 anos,Maiores de 23 anos ,Unknown
5b3fee75-3535-11ef-af6f-09f1977a5dda,28,Portugal,Unknown,ALBUFEIRA,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,"Directores de hotelaria, restauração, comércio e de outros serviços ",Outra situação,Ensino básico 2.º ciclo - 6.º ano de escolaridade ,Reformado,Não sabe,Unknown,Ensino básico 2.º ciclo - 6.º ano de escolaridade ,"Directores de hotelaria, restauração, comércio e de outros serviços ",Trabalhador por conta de outrem,202324,CONTABILIDADE,"Escola Superior de Gestão, Hotelaria e Turismo",No,Ingresso em TESP,0,4 - Concurso de acesso a CTeSP,Candidaturas aos TESP,Unknown
5b403c95-3535-11ef-af6f-09f1977a5dda,24,Portugal,Unknown,ALBUFEIRA,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais ",Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Trabalhador por conta de outrem,Não sabe,Unknown,Ensino secundário - 12.º  ou equivalente,Não sabe,Trabalhador por conta de outrem,202324,GESTÃO DE EMPRESAS (1º CICLO),Faculdade de Economia,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,151.4
5b408ab2-3535-11ef-af6f-09f1977a5dda,24,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,CE / MC,Unknown,"Aluno, estudante",Unknown,Unknown,Ensino secundário - 12.º  ou equivalente,Doméstico,Trabalhadores de limpeza,Unknown,Ensino secundário - 12.º  ou equivalente,Não sabe,Trabalhador por conta de outrem,202324,PSICOLOGIA (1º CICLO),Faculdade de Ciências Humanas e Sociais,No,Titulares de cursos médios e superiores,1,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b417513-3535-11ef-af6f-09f1977a5dda,24,Portugal,Unknown,ALBUFEIRA,No,No,CE / MC,Outra situação,"Aluno, estudante",Não sabe,Unknown,Ensino superior - licenciatura,Trabalhador por conta de outrem,Professores,Unknown,Ensino secundário - 12.º  ou equivalente,"Técnicos e profissões das ciências e engenharia, de nível intermédio",Trabalhador por conta de outrem,202324,CIÊNCIAS BIOMÉDICAS LABORATORIAIS (1º CICLO),Escola Superior de Saúde,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b419c20-3535-11ef-af6f-09f1977a5dda,25,Portugal,Unknown,TORRES NOVAS,No,No,CE / MC,Outra situação,"Aluno, estudante",Não sabe,Outra situação,Ensino superior - licenciatura,Trabalhador por conta própria como empregador,Professores,Outra situação,Ensino secundário - 12.º  ou equivalente,Vendedores,Trabalhador por conta própria como isolado,202324,ENGENHARIA CIVIL (1º CICLO),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Titulares de Outros Cursos Superiores,Unknown
5b456cb0-3535-11ef-af6f-09f1977a5dda,24,Portugal,Unknown,FARO,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,Técnicos das tecnologias de informação e comunicação ,Unknown,Ensino básico 2.º ciclo - 6.º ano de escolaridade ,Outra situação,Vendedores,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Vendedores,Outra situação,202324,MARKETING (1º CICLO),"Escola Superior de Gestão, Hotelaria e Turismo",No,TITULAR DE DIPLOMA TÉCNICO SUPERIOR PROFISSIONAL,0,7 - Concurso especial titulares de diploma CTeSP,Titulares de TESP,Unknown
5b45e1e5-3535-11ef-af6f-09f1977a5dda,23,Brasil,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,Especialistas em tecnologias de informação e comunicação (TIC),Unknown,Ensino superior - licenciatura,Trabalhador por conta de outrem,Professores,Unknown,Ensino superior - licenciatura,"Técnicos e profissões das ciências e engenharia, de nível intermédio",Trabalhador por conta de outrem,202324,ENGENHARIA DE SISTEMAS E TECNOLOGIAS INFORMÁTICAS (1º CICLO),Instituto Superior de Engenharia,No,CONCURSO ESPECIAL - ESTUDANTE INTERNACIONAL,0,9 - Concurso especial estudantes internacionais,Estudante Internacional ,Unknown
5b476881-3535-11ef-af6f-09f1977a5dda,25,Brasil,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta própria como isolado,Não sabe,Unknown,Ensino superior - licenciatura,Trabalhador por conta de outrem,Professores,Unknown,Ensino superior - mestrado,Professores,Trabalhador por conta de outrem,202324,ENGENHARIA DE SISTEMAS E TECNOLOGIAS INFORMÁTICAS (1º CICLO),Instituto Superior de Engenharia,No,CONCURSO ESPECIAL - ESTUDANTE INTERNACIONAL,1,9 - Concurso especial estudantes internacionais,Estudante Internacional ,Unknown
5b478f90-3535-11ef-af6f-09f1977a5dda,23,Portugal,Brasil,QUARTEIRA,No,No,CE / MC,Outra situação,Trabalhador por conta de outrem,"Empregados de escritório, secretários em geral e operadores de processamento de dados ",Unknown,Ensino secundário - 12.º  ou equivalente,Desempregado,Trabalhadores de limpeza,Unknown,Não disponível,Não sabe,Outra situação,202324,ENGENHARIA DE SISTEMAS E TECNOLOGIAS INFORMÁTICAS (1º CICLO),Instituto Superior de Engenharia,No,TITULAR DE DIPLOMA TÉCNICO SUPERIOR PROFISSIONAL,1,7 - Concurso especial titulares de diploma CTeSP,Titulares de TESP,Unknown
5b496453-3535-11ef-af6f-09f1977a5dda,23,Portugal,Unknown,FARO,No,No,Candidato a Bolsa (comprovativo na matricula),Outra situação,Trabalhador por conta de outrem,Pessoal de apoio directo a clientes ,Unknown,Ensino secundário - 12.º  ou equivalente,Trabalhador por conta de outrem,Profissionais de saúde,Unknown,Ensino secundário - 12.º  ou equivalente,Assistentes na preparação de refeições,Trabalhador por conta de outrem,202324,ENGENHARIA DE SISTEMAS E TECNOLOGIAS INFORMÁTICAS (1º CICLO),Instituto Superior de Engenharia,No,TITULAR DE DIPLOMA TÉCNICO SUPERIOR PROFISSIONAL,0,7 - Concurso especial titulares de diploma CTeSP,Titulares de TESP,Unknown
